acid_base_type,pka,Smiles
acidic,3.730000019,Brc1ccc(-c2nn[nH]n2)cc1
basic,5.050000191,Brc1ccc(C2NCCS2)cc1
basic,7.0,Brc1ccc(Cc2c3ccccc3nc3ccccc23)cc1
basic,11.30000019,Brc1cccc(Br)c1N(C1=NCCN1)C1CCCCC1
basic,10.89999962,Brc1cccc(Br)c1N(CC1CCCC1)C1=NCCN1
acidic,3.829999924,Brc1ccccc1-c1nn[nH]n1
basic,3.539999962,Brc1cncc2ccccc12
basic,6.650000095,C#CC(C)(C)N(C)C(C)(C)C#C
acidic,4.599999905,C#CCCCC(=O)O
basic,9.229999542,C#CCCN
basic,5.440000057,C#CCN1CCN(C(=O)OCC)CC1
basic,6.079999924,C#CCNCC#C
basic,9.729999542,C#C[C@]1(O)C[C@@H](C)N[C@@H]2CCCC[C@H]21
basic,9.289999962,C#C[C@]1(O)C[C@@H](C)N[C@H]2CCCC[C@@H]21
acidic,9.180000305,C#N
acidic,3.220000029,C/C=C(\Cl)C(=O)O
acidic,4.28000021,C/C=C/CC(=O)O
acidic,4.510000229,C/C=C\C=C/C(=O)O
basic,7.230000019,C1=C(c2nc3ccccc3o2)C2CCN1CC2
basic,10.93999958,C1CCCNCC1
basic,5.880000114,C1CN(CC2CO2)CCO1
basic,6.050000191,C1CN1
basic,8.649999619,C=C(C)C(=O)OC(C)CN(CC)CC
acidic,4.659999847,C=C(C)C(=O)O
basic,10.89999962,C=C(C)CCN(C1=NCCN1)c1c(Br)cccc1Br
acidic,2.549999952,C=C(F)C(=O)O
basic,9.399999619,C=C(F)CN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1CN
basic,8.350000381,C=C1[C@H](OC(C)=O)[C@]23C[C@H]4C5[C@@]67C(C2C[C@@H]1C[C@]36O)N4C[C@]5(C)C[C@@H](OC(C)=O)[C@@H]7OC(C)=O
basic,10.09000015,C=CC(=O)NC(C)(C)CCN(CC)CC
basic,7.199999809,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC(N(C)C)C1
basic,8.25,C=CC(=O)OCCN(C)C
basic,9.670000076,C=CC(C)(C)OCC(O)CNC(C)(C)C
basic,4.570000172,C=CC(C)Nc1ccccc1
acidic,4.329999924,C=CCC(=O)O
basic,9.399999619,C=CCN(CC=C)C(=O)[C@@]1(c2cccs2)C[C@H]1CN
acidic,4.449999809,C=CCOc1ccc(C(=O)O)cc1
basic,9.523332596,C=CCOc1ccccc1OCC(O)CNC(C)C
basic,5.650000095,C=CCSS/C(CCO)=C(/C)N(C=O)Cc1cnc(C)nc1N
basic,8.720000267,C=CCN(C)C
basic,8.31000042,C=CCN(CC=C)CC=C
basic,9.350000381,C=CCNCC=C
basic,4.949999809,C=Cc1ccccn1
acidic,2.630000114,CC#CC(=O)O
acidic,3.599999905,CC#CCC(=O)O
acidic,7.639999866,CC(=O)/C=C(/C)O
acidic,8.850000381,CC(=O)C=C(C)O
basic,8.949999809,CC(=O)CCN(C)C
basic,3.519999981,CC(=O)N(C)c1cccnc1
acidic,7.320000172,CC(=O)N(c1ccccc1)c1nnc(S(N)(=O)=O)s1
basic,5.260000229,CC(=O)N1CCNc2ncnc(C)c21
acidic,2.5,CC(=O)N1C[S+]([O-])C[C@H]1C(=O)O
basic,7.099999905,CC(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(CCCN1CCOCC1)c1ccccc1
basic,9.279999733,CC(=O)NCCN
acidic,9.0,CC(=O)NCc1cc(C)cc(CNC(C)=O)c1O
acidic,5.400000095,CC(=O)NCc1cccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c(C#N)cccc32)c1
acidic,5.460000038,CC(=O)NCc1cccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c(C(C)(C)O)cccc32)c1
acidic,5.619999886,CC(=O)NCc1cccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c(F)cccc32)c1
acidic,9.069999695,CC(=O)NO
basic,7.849999905,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(-n3cccn3)c2)CCCCC1
basic,6.699999809,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C(F)F)c2)CC1
acidic,5.800000191,CC(=O)N[C@H]1CONC1=O
acidic,9.543333054,CC(=O)Nc1ccc(O)cc1
acidic,9.489999771,CC(=O)Nc1ccc(OC(=O)Nc2cc(Cl)ccc2O)cc1
acidic,10.02000046,CC(=O)Nc1ccc(S(N)(=O)=O)cc1
basic,9.93999958,CC(=O)Nc1ccc2nc(OCCN(C)C)ccc2c1
basic,3.0,CC(=O)Nc1cccc2cc3ccccc3nc12
basic,6.5,CC(=O)Nc1ccnc(N2CCc3ccccc3C2)c1
basic,10.28999996,CC(=O)OCC1CN2CCC1CC2
acidic,10.22000027,CC(=O)OCCCc1ccc(S(N)(=O)=O)cc1
basic,8.300000191,CC(=O)OCCN(C)C
basic,4.599999905,CC(=O)O[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(C6COC6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O
acidic,8.880000114,CC(=O)Sc1ccc(O)cc1
acidic,4.190000057,CC(=O)[C@@H]1C[C@@H]1C(=O)O
acidic,4.630000114,CC(=O)[C@@H]1C[C@H](C(=O)O)C1(C)C
acidic,9.010000229,CC(=O)c1cc(C(=O)c2ccccc2)[nH]n1
acidic,8.979999542,CC(=O)c1cc(C(C)=O)[nH]n1
acidic,5.860000134,CC(=O)c1ccc(O)c2ncccc12
acidic,4.150000095,CC(=O)c1ccccc1C(=O)O
basic,2.309999943,CC(=O)c1ccccc1N
acidic,9.199999809,CC(=O)c1ccccc1N=NC(C(=O)c1ccccc1)=C(O)c1ccccc1
acidic,10.36999989,CC(=O)c1ccccc1O
basic,5.03000021,CC(=O)n1ccnc1C
basic,10.92000008,CC(=N)N1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
acidic,3.700000048,CC(C(=O)O)C(C#N)c1ccccc1
acidic,4.599999905,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1
acidic,5.210000038,CC(C(N)=O)S(=O)(=O)NC(N)=O
acidic,9.920000076,CC(C)(C(N)=O)S(N)(=O)=O
acidic,9.590000153,CC(C)(C)C(=O)NO
acidic,2.539999962,CC(C)(C)CC#CC(=O)O
acidic,11.22000027,CC(C)(C)CCCCc1ccc(O)cc1
basic,8.699999809,CC(C)(C)CCN1CCC(CNC(=O)c2cc(Cl)cc(Cl)c2)CC1
basic,10.17000008,CC(C)(C)CN
acidic,10.10000038,CC(C)(C)N(O)C(=O)c1ccccc1
basic,7.150000095,CC(C)(C)Nc1ccccc1
acidic,11.14000034,CC(C)(C)S
basic,5.900000095,CC(C)(C)[C@@]1(O)CCN2C[C@@H]3c4ccccc4CCc4cccc(c43)[C@H]2C1
basic,7.150000095,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1
basic,10.10999966,CC(C)(C)NCCO
basic,10.76500034,CC(C)(C)N
basic,7.800000191,CC(C)(C)c1[nH]c2ccccc2c1C1CCCN(Cc2ccc(CCC(=O)N=O)cc2)C1
basic,7.300000191,CC(C)(C)c1[nH]c2ccccc2c1C1CCCN(Cc2ccc(CCC(=O)N=O)cc2F)C1
acidic,11.81999969,CC(C)(C)c1cc(/C=C/Cl)cc(C(C)(C)C)c1O
acidic,3.529999971,CC(C)(C)c1ccccc1C(=O)O
basic,6.699999809,CC(C)(C)c1ccnc(C(C)(C)C)c1
acidic,3.690000057,CC(C)(CO[N+](=O)[O-])C(=O)Oc1ccccc1C(=O)O
acidic,4.039999962,CC(C)(O)C(=O)O
basic,7.199999809,CC(C)(O)c1ccn2ccnc2c1
basic,5.400000095,CC(C)(O)c1ccn2ccnc2c1F
basic,9.050000191,CC(C)(N)CNC(=O)C[C@H]1CC[C@@]2(CC1)C[C@@]1(OO2)C2CC3CC(C2)CC1C3
acidic,4.699999809,CC(C)/C=C/C(=O)O
acidic,6.179999828,CC(C)=CCC1C(=O)C(CC=C(C)C)(CC=C(C)C)C(=O)C(C(=O)CC(C)C)=C1O
acidic,9.859999657,CC(C)C(=O)C=C(O)C(C)C
basic,9.399999619,CC(C)C(=O)N(Cc1ccccc1-c1ccccc1)[C@H]1CCNC1
basic,10.39999962,CC(C)C(N)C(C)C
acidic,6.5,CC(C)CC1CC(O)=C(C(=O)Nc2ccc(C3CCCCC3)cc2)C(=O)N1
acidic,4.840000153,CC(C)CCC(=O)O
basic,10.27999973,CC(C)CCCC(C)N
basic,9.43500042,CC(C)CCCN(C)CCCNC(=O)CN=O
acidic,4.849999905,CC(C)CCOc1ccccc1/C=C/C(=O)O
basic,8.430000305,CC(C)CCSC(=N)c1ccccc1
basic,9.199999809,CC(C)CNC(=O)[C@H]1C[C@@](F)(c2ccc(CN3CCCC3)c(F)c2)C1
basic,8.729999542,CC(C)CSCCN
basic,8.770000458,CC(C)C[C@@H](C(=O)NCC#N)c1cccc(-c2ccc(N3CCNCC3)cc2)c1
basic,9.600000381,CC(C)C[C@H](N)C(=O)NCCCS(=O)(=O)Oc1ccc(Cl)cc1
basic,11.34000015,CC(C)CN[C@H](c1ccccc1)[C@H](O)c1ccccc1
acidic,5.205714226,CC(C)Cc1ccc(C(C)C(=O)O)cc1
basic,5.28000021,CC(C)N(/C=N\c1ccn(C2CCC(CO)O2)c(=O)n1)C(C)C
basic,3.5,CC(C)N(Cc1cnc[nH]1)c1ccc(Cl)cc1
basic,6.190000057,CC(C)N(c1ccccc1)C(C)C
basic,8.899999619,CC(C)N=NC1CCN(C)CC1
basic,4.21999979,CC(C)Nc1ncnc2c1cnn2C
acidic,4.570000172,CC(C)Oc1ccc(C(=O)O)cc1
acidic,3.480000019,CC(C)[C@H](C(=O)O)N1C[C@H](NC(=O)Cc2ccccc2)C1=O
basic,11.85999966,CC(C)N(C(C)C)C(C)C
basic,10.02000046,CC(C)N(CCc1ccccc1)CCc1ccccc1
basic,8.31000042,CC(C)N1C2CCCC21
basic,9.399999619,CC(C)N1CCC(C(=O)Nc2cccc(OCc3ccc(F)cc3)c2)CC1
basic,9.699999809,CC(C)N1CCC(Oc2ccc3[nH]c(C(=O)N4CCCCCC4)cc3c2)CC1
basic,10.96000004,CC(C)N1CCCCC1
basic,9.555000305,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
acidic,6.53000021,CC(C)c1cc(=O)c(O)ccc1Br
basic,6.019999981,CC(C)c1cc(Nc2cccc(Cl)c2)ncc1C(=O)NCc1ccc(F)cc1
basic,10.48999977,CC(C)c1ccc(CCCN(C)C)cc1
acidic,3.640000105,CC(C)c1ccccc1C(=O)O
basic,5.71999979,CC(C)c1cccnc1
acidic,4.40500021,CC(C)n1c(/C=C/C(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21
basic,6.699999809,CC(C)n1c(N)nc2ccc(/C(=C\C(N)=O)c3cccc(F)c3F)cc21
acidic,5.010000229,CC(C1CC1C(=O)O)C1CC[C@H]2[C@@H]3[C@@H](O)CC4C[C@H](O)CCC4(C)[C@H]3CCC12C
basic,7.960000038,CC(C=C(c1cccs1)c1cccs1)N1CCCCCC1
basic,7.519999981,CC(C=C(c1cccs1)c1cccs1)N1CCCCCCC1
basic,8.619999886,CC(CC(O)(c1ccccc1)c1ccccc1)N1CCCCC1
basic,7.900000095,CC(CN(C)C)C(C#N)(c1ccccc1)c1ccccc1
acidic,2.880000114,CC(Cl)C(=O)O
basic,8.539999962,CC(Cl)CN
basic,6.989999771,CC(N)=Nc1nsc2ccccc12
basic,8.300000191,CC(=Nc1ccccc1)Nc1ccccc1
acidic,10.0,CC(O)=CC(=O)Nc1cccc(C)c1
acidic,3.75999999,CC(O)C(=O)O
acidic,4.300000191,CC(O)C(C(=O)O)c1ccc(-c2ccccc2)cc1
basic,9.329999924,CC(O)CN(CC(C)O)C(C)C
basic,9.199999809,CC(O)CN(CCO)C(C)(C)C
basic,9.760000229,CC(OCC(O)CNC(C)(C)C)C1CC1
acidic,4.150000095,CC(P)C(=O)O
basic,8.020000458,CC(N)C(N)=O
basic,10.14000034,CC(N)CC1CCCCC1
basic,9.779999733,CC(N)CCc1ccccc1
acidic,2.839999914,CC/C=C/CC(=O)N[C@H]1C(=O)N2[C@H]1SC(C)(C)[C@H]2C(=O)O
acidic,9.399999619,CC/N=C(\N=[N+]=[N-])c1ccccc1O
basic,10.19999981,CC1(C)CCCCN1Cc1ccc2c(c1)OCO2
basic,9.399999619,CC1(C)CCCN(Cc2ccc3c(c2)OCO3)C1
acidic,9.100000381,CC1(C)CCc2cc(O)c(Cl)cc2O1
acidic,10.30000019,CC1(C)CCc2cc(O)ccc2O1
acidic,3.400000095,CC1(C)CCc2cc(S(=O)(=O)N(CC(=O)O)Cc3cccc(-c4ccccc4)c3)ccc2O1
basic,7.900000095,CC1(C)C[C@@H](CN2CCC(F)(CNC(=O)c3cc(Cl)cc(Cl)c3)CC2)CCO1
acidic,4.659999847,CC1(C)N=C(C(O)=CC(=O)C(F)(F)F)C(C)(C)N1O
acidic,2.799999952,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O
basic,8.100000381,CC1(c2cccc(-c3cncnc3)c2)N=C(N)c2ccccc2O1
basic,8.300000191,CC1(c2cccc(NC(=O)c3ccccn3)c2)CSC(N)=N1
basic,9.800000191,CC1(c2ccccc2)COCC(N)=N1
acidic,6.400000095,CC1(c2ccccc2)Cc2cc(OCCCC(=O)O)c(Cl)c(Cl)c2C1=O
basic,10.57999992,CC12CC3(C)CC(C)(C1)CC(N)(C2)C3
acidic,3.099999905,CC1=C(C)C(C(C)C(=O)O)=CC1=O
basic,8.550000191,CC1=C(CC(C)NCC(O)c2ccc(Cl)cc2)CCC1(C)C
basic,8.840000153,CC1=C(CC(C)NCC(O)c2ccccc2)CCC1(C)C
acidic,5.599999905,CC1=C(O)CC(C)(C)CC1=O
basic,10.31000042,CC1=CSC2=NCCCN12
basic,9.81000042,CC1=CSC2=NCCN12
acidic,7.150000095,CC1=NN(c2ccc(OCCCCC(CO[N+](=O)[O-])O[N+](=O)[O-])cc2)C(=O)C1
acidic,7.090000153,CC1=NN(c2ccc(OCCCOc3no[n+]([O-])c3-c3ccccc3)cc2)C(=O)C1
basic,2.849999905,CC1CC(C(=O)O)=[N+]([O-])C1(C)C
acidic,5.619999886,CC1CC(C)C(O)=CC1=O
acidic,5.099999905,CC1CC(O)=CC(=O)O1
acidic,3.299999952,CC1CCCC(C(=O)O)c2nnnn21
basic,10.97999954,CC1CCCCN1
basic,8.279999733,CC1CCCN(C(C)C=C(c2cccs2)c2cccs2)C1
basic,9.859999657,CC1CCN(C(=O)c2ccc3cc(OCCCN4CCCCC4)ccc3c2)CC1
basic,7.800000191,CC1NC(=NCC(F)F)Nc2c(Cl)ccc(Cl)c21
basic,3.599999905,CC1ONCc2ccccc21
basic,10.5,CC1N=C(N)Nc2ccccc21
basic,8.723333359,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
basic,6.889999866,CCC(=O)C(CC(C)N1CCOCC1)(c1ccccc1)c1ccccc1
basic,9.229999542,CCC(=O)C(CCN(C)C)(c1ccccc1)c1ccccc1
basic,8.069999695,CCC(=O)C(c1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C
acidic,8.369999886,CCC(=O)CN=O
basic,9.199999809,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C
acidic,9.050000191,CCC(=O)c1cc(C(C)=O)n[nH]1
basic,9.199999809,CCC(C)(C)NCC(O)COc1ccccc1C(=O)CCc1ccccc1
basic,10.90999985,CCC(C)(N)CC
basic,7.070000172,CCC(C)C(=O)CCN1CCOCC1
basic,11.0,CCC(C)NC(C)C
basic,10.93999958,CCC(C)NC(C)CC
acidic,3.369999886,CCC(CC)C(=O)O[C@H]1O[C@@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H]1O
basic,9.300000191,CCC(CC)Nc1cc(C)nc(Nc2c(C)cc(C)cc2C)c1C
acidic,4.159999847,CCC(O)C(C(=O)O)c1ccc(-c2ccccc2)cc1
acidic,4.079999924,CCC(P)C(=O)O
basic,8.529999733,CCC(N)CCCl
acidic,8.699999809,CCC1(C)NC(=O)c2cc(S(=O)(=O)Nc3ccccc3)ccc2NC1=O
basic,8.399999619,CCC1(c2cccc(-c3cncnc3)c2)N=C(N)c2ccccc2O1
basic,9.779999733,CCC1CCCN1C
basic,8.18999958,CCC1CN1CC
acidic,9.479999542,CCCC(=O)NO
basic,7.889999866,CCCC(C(=O)Nc1c(C)cccc1C)N(CC)CC
acidic,4.099999905,CCCC1(C2CCCC2)Cc2cc(OCCCC(=O)O)c(Cl)c(Cl)c2C1=O
acidic,3.799999952,CCCC12CCC(=O)C=C1c1c(cc(OCC(=O)OC(C)(C)C(=O)O)c(Cl)c1Cl)C2
acidic,4.300000191,CCCC12CCC(=O)C=C1c1c(cc(OCC(=O)O)c(C)c1C)C2
acidic,4.699999809,CCCC12CCC(=O)C=C1c1c(cc(SCC(=O)O)c(Cl)c1Cl)C2
acidic,4.050000191,CCCC12CCC(=O)C=C1c1ccc(OCC(=O)O)cc1C2
acidic,4.400000095,CCCCC1(C2CCCC2)Cc2cc(OCCCC(=O)O)c(Cl)c(Cl)c2C1=O
basic,10.01000023,CCCCC1CCCN1C
basic,10.98999977,CCCCCC(C)NC
acidic,5.599999905,CCCCCCCCC1CCC(=O)N1CCCCCCC(=O)O
acidic,9.050000191,CCCCCCCCCCCCCC(=O)N(O)c1ccccc1
acidic,6.760000229,CCCCCCCCCCCCCCCCCC(=O)OCC1CCP(O)(=S)O1
acidic,5.010000229,CCCCCCCCCCCCCCCCCC(=O)O
basic,5.5,CCCCCCCCCCCCCCCCCc1c2ccccc2nc2ccccc12
basic,10.60999966,CCCCCCCCCCCCCCCCN
basic,10.60999966,CCCCCCCCCCCCCCCN
basic,10.63000011,CCCCCCCCCCCCCN
basic,5.599999905,CCCCCCCCCCCCCc1ccccn1
basic,6.199999809,CCCCCCCCCCCCN(CC(C)O)CC(O)CC
basic,10.61499977,CCCCCCCCCCCCN
acidic,8.090000153,CCCCCCCCCCOC(=O)c1ccc(OS(N)(=O)=O)cc1
acidic,6.699999809,CCCCCCCCCCc1c(-c2ccccc2)[nH]n(-c2ccccc2)c1=O
basic,9.899999619,CCCCCCCCCCn1cc(CCCN[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)nn1
basic,7.099999905,CCCCCCCCCCn1cc(CN[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)nn1
basic,6.599999905,CCCCCCCCCn1ccnc1
basic,8.300000191,CCCCCCCCN(CC(C)O)CC(C)O
acidic,7.5,CCCCCCCCc1c(-c2ccccc2)[nH]n(-c2ccccc2)c1=O
basic,5.090000153,CCCCCCCNc1ccccc1
acidic,9.199999809,CCCCCCCc1c(-c2ccccc2)[nH][nH]c1=O
basic,4.889999866,CCCCCCN(CCCCCC)c1ccccc1
basic,10.68000031,CCCCCCN
acidic,8.600000381,CCCCCCc1c(-c2ccccc2)[nH][nH]c1=O
basic,7.400000095,CCCCCNc1nc2ccccc2n1CCc1ccccc1
acidic,8.470000267,CCCCCOC(=O)c1ccc(OS(N)(=O)=O)cc1
basic,5.829999924,CCCCCn1cc(C(=O)c2cccc3ccccc23)c2ccncc21
acidic,11.0,CCCCNC(=O)NO
basic,9.130000114,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCCOC)c1)C(C)C
basic,4.21999979,CCCCNc1ncnc2c1cnn2C
basic,6.099999905,CCCCNc1nnc(-c2ccccc2)cc1C
acidic,8.340000153,CCCCOC(=O)c1ccc(O)cc1
acidic,3.900000095,CCCC[C@@]1(C2CCCC2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O
acidic,4.400000095,CCCC[C@@]1(C2CCCC2)Cc2cc(OCCCC(=O)O)c(Cl)c(Cl)c2C1=O
acidic,3.900000095,CCCC[C@]1(C2CCCC2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O
basic,10.80000019,CCCCNC
basic,11.28999996,CCCCNCCCC
basic,9.979999542,CCCCNCc1ccc(C)cc1
acidic,10.52999973,CCCC[P+](CCCC)(CCCC)C1c2ccccc2-c2ccccc21
basic,4.260000229,CCCCc1ccccc1N
basic,5.309999943,CCCCn1cnc2ccccc21
basic,11.0,CCCN(C1=NCCN1)c1c(Br)cccc1Br
basic,9.600000381,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)[C@H]2CCCN2)c1
basic,7.0,CCCN(N)CCC
basic,6.650000095,CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1
basic,6.860000134,CCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2Cc2cccc(N)n2)cc1
acidic,10.22999954,CCCOc1ccc(O)cc1
basic,7.599999905,CCCOc1noc2c1CNCC2
acidic,8.449999809,CCCSC(N=O)C(=O)c1ccc(Br)cc1
basic,8.829999924,CCCSCCN(CC)CC
basic,7.650000095,CCC[C@@H]1C[C@@H](C(=O)N[C@H]([C@@H](C)O)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1
basic,9.0,CCCN(CC(C)O)CC(O)CC
basic,9.0,CCCN(CC(O)CC)CC(O)CC
basic,8.600000381,CCCN(CCC)CCc1c[nH]c2ccccc12
basic,7.840000153,CCCN1CCN(c2ccc(C(N)=O)cc2)CC1
basic,7.829999924,CCCN1CCN(c2cccc(Cl)c2)CC1
basic,8.140000343,CCCN1CCN(c2ccccc2C(N)=O)CC1
basic,8.779999733,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
basic,10.69999981,CCCN=C1Nc2ccccc2C(C)N1
basic,8.899999619,CCCNC1c2ccccc2C=Cc2ccccc21
basic,8.020000458,CCCc1ncc[nH]1
basic,10.53999996,CCCc1ccc(CCCN(C)C)cc1
basic,5.96999979,CCCc1ccccn1
acidic,8.819999695,CCCc1ncnc2c(O)cccc12
acidic,5.610000134,CCCc1nn[nH]n1
acidic,4.889999866,CCCc1oc2ccccc2c(=O)c1C(=O)c1cc(I)c(O)c(I)c1
basic,7.039999962,CCCn1ccnc1CO
basic,7.300000191,CCN(C)N(CC)CC
basic,6.849999905,CCN(C)NC
basic,6.019999981,CCN(C)c1ccccc1
basic,9.600000381,CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN
basic,9.600000381,CCN(CC)C(=O)[C@]1(c2ccccc2)C[C@H]1CN
acidic,3.950000048,CCN(CC)C(=S)S
basic,6.880000114,CCN(CC)N(C)C
basic,7.139999866,CCN(CC)NC
acidic,2.960000038,CCN(CC)S(=O)(=O)c1ccccc1C(=O)O
basic,6.010000229,CCN(CC)c1ccc(OC)c2nc(-c3c(OC)cc(COC)cc3OC)c(C)cc12
basic,7.400000095,CCN(CCCN1CCc2cc(OC)ccc2C1)S(=O)(=O)c1ccccc1
acidic,3.700000048,CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)n2cccnc12)C(=O)C1CC1
basic,7.630000114,CCN(N)CC
basic,9.199999809,CCNC(=O)[C@H]1C[C@@](F)(c2ccc(CN3CCCC3)c(F)c2)C1
acidic,11.52000046,CCNC(=S)OC(C)C
basic,6.579999924,CCNN(C)C
basic,6.809999943,CCNN(C)CC
basic,4.485000134,CCNc1cc(-c2nc(N)n[nH]2)ccn1
basic,5.289999962,CCNc1ccccc1
basic,4.239999771,CCNc1ncnc2c1cnn2C
acidic,6.119999886,CCNc1nn[nH]n1
acidic,11.81000042,CCOC(=O)C(Cc1ccccc1)=C(C)O
basic,7.710000038,CCOC(=O)C(N)CC
basic,9.125,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
basic,7.429999828,CCOC(=O)C1(c2ccccc2)CCN(CCF)CC1
basic,7.480000019,CCOC(=O)C1C2c3ccccc3C(c3ccccc32)C1N(C)C
basic,7.659999847,CCOC(=O)CC(c1ccccc1)N(C)C
basic,8.319999695,CCOC(=O)C[C@H](N)c1ccccc1
basic,7.309999943,CCOC(=O)N1CCN(C)CC1
basic,3.400000095,CCOC(=O)N1CCN(Cc2nc(-c3cccc(Cl)c3)no2)CC1
basic,8.899999619,CCOC(=O)[C@@H](N)CCC(=O)NCCSC(=O)C(C)(C)C
basic,8.850000381,CCOC(=O)[C@@H](N)CCC(=O)NCCSC(=O)c1ccccc1
acidic,5.380000114,CCOC(=O)c1c(O)nnn1Cc1ccccc1
